,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
24028,2001,Romania,ROU,Slovenia,SVN,0,0,0,48,48
23217,2001,Bosnia and Herzegovina,BIH,France,FRA,166,0,181,0,347
22192,2001,Georgia,GEO,Australia,AUS,0,0,12,0,12
23504,2001,Albania,ALB,Netherlands,NLD,0,0,73,86,159
23531,2001,Ethiopia,ETH,Netherlands,NLD,0,14,148,72,234
64030,2001,Uzbekistan,UZB,United States of America,USA,88,0,99,10,197
23433,2001,Libya,LBY,Ireland,IRL,5,0,12,21,38
2206,2001,Albania,ALB,Belgium,BEL,5,0,15,0,20
23677,2001,Albania,ALB,New Zealand,NZL,0,0,5,0,5
23545,2001,Iran (Islamic Rep. of),IRN,Netherlands,NLD,10,77,1025,890,2002
22985,2001,Guyana,GUY,Canada,CAN,5,0,70,38,113
23189,2001,Latvia,LVA,Finland,FIN,0,5,0,0,5
79406,2001,Sierra Leone,SLE,Pakistan,PAK,0,0,5,0,5
79295,2001,Uganda,UGA,Kenya,KEN,25,0,28,71,124
63927,2001,Cambodia,KHM,United States of America,USA,11,0,36,5,52
22293,2001,Uzbekistan,UZB,Czechia,CZE,0,0,10,0,10
23715,2001,South Africa,ZAF,New Zealand,NZL,0,0,10,0,10
23242,2001,Iraq,IRQ,France,FRA,133,0,184,0,317
23829,2001,Bulgaria,BGR,South Africa,ZAF,0,0,96,12,108
42,2001,Nepal,NPL,Australia,AUS,0,0,52,12,64
79483,2001,Djibouti,DJI,Yemen,YEM,0,0,5,0,5
16560,2001,North Macedonia,MKD,Austria,AUT,0,0,71,0,71
68770,2001,Bhutan,BTN,Germany,DEU,0,0,19,0,19
16587,2001,Bosnia and Herzegovina,BIH,Italy,ITA,15,15,15,0,45
23054,2001,United Rep. of Tanzania,TZA,Canada,CAN,147,0,22,10,179
23986,2001,Iraq,IRQ,Slovakia,SVK,0,0,11,623,634
22952,2001,Central African Rep.,CAF,Canada,CAN,5,0,0,0,5
2424,2001,Niger,NER,Netherlands,NLD,0,0,0,22,22
22837,2001,Burundi,BDI,Benin,BEN,11,0,0,0,11
63969,2001,Kazakhstan,KAZ,United States of America,USA,19,0,33,0,52
22874,2001,Russian Federation,RUS,Belarus,BLR,0,0,0,5,5
79472,2001,India,IND,United Arab Emirates,ARE,0,0,0,5,5
23534,2001,Gambia,GMB,Netherlands,NLD,0,0,13,5,18
24103,2001,Russian Federation,RUS,Sweden,SWE,0,14,477,66,557
24217,2001,Chad,TCD,Uganda,UGA,0,0,5,0,5
2359,2001,Iran (Islamic Rep. of),IRN,Japan,JPN,0,0,5,0,5
23789,2001,Russian Federation,RUS,Portugal,PRT,0,0,0,5,5
2397,2001,Guinea,GIN,Netherlands,NLD,5,37,0,291,333
23807,2001,Liberia,LBR,Romania,ROU,0,0,5,0,5
24247,2001,Burundi,BDI,Zambia,ZMB,90,0,5,0,95
13861,2001,Venezuela (Bolivarian Republic of),VEN,United States of America,USA,5,0,10,29,44
23887,2001,Chad,TCD,Senegal,SEN,0,0,5,0,5
70907,2001,Libya,LBY,Germany,DEU,0,0,0,10,10
22247,2001,Uzbekistan,UZB,Australia,AUS,0,0,14,0,14
16574,2001,Sudan,SDN,Austria,AUT,5,0,24,0,29
23514,2001,Burkina Faso,BFA,Netherlands,NLD,0,0,19,10,29
23035,2001,Qatar,QAT,Canada,CAN,0,0,5,5,10
63930,2001,China,CHN,United States of America,USA,4092,0,3359,939,8390
